name, street,city,state,date
Duane Adams,Hojzi Path,Zurmubku,NY,08/08/1943
Ruby Hampton,Seime Plaza,Ikduju,KS,09/16/1986
Carl Johnson,Zopwe Drive,Ehazeru,RI,11/27/2064
Lucy Cooper,Hotho Heights,Wiwolufu,VA,08/24/2029
Hester Crawford,Unok Junction,Zosesi,TN,05/18/1994
Mike Harrison,Jojat Turnpike,Puwhuwwem,CO,03/27/1921
Manuel Austin,Ahcew Court,Rilufgob,WV,01/11/1914
Gussie Patton,Bapber Lane,Dagpupijo,IN,04/05/2002
Wesley Bass,Culpo Square,Ukfipaf,VT,01/01/1977
Herman Hernandez,Duput Parkway,Giszasza,MO,04/29/2018
Lucas Hart,Jezgon Grove,Canakhug,NV,09/24/1906
Delia Walsh,Fosja Drive,Baftari,NY,12/29/1908
Marie Reese,Dugge Key,Wusulgo,HI,04/05/1963
Brian Stevenson,Bemeg Turnpike,Muebibe,OR,08/24/2037
Lottie Larson,Razuk Extension,Pesulobi,IL,08/18/1973
Sara Guzman,Deum Mill,Mompacbag,NJ,04/04/1964
Austin Diaz,Sola Highway,Vawhadkaw,NY,02/01/2037
Marie Hill,Wotli Grove,Kabgunjo,AK,12/15/2025
Isabel Lawrence,Ulares Mill,Vondujper,NM,02/17/1905
Herbert Hale,Akaec Extension,Wacwuuha,IL,04/22/2065
Nell Valdez,Olrad Court,Keunwip,NV,04/16/1974
Sue Hunt,Hirow Pike,Boruuna,PA,06/03/2068
Ruth Turner,Bipelo Heights,Azitiil,AK,05/07/1943
Cordelia Wise,Huwgi Path,Seviga,ID,08/30/2022
Corey Wise,Zohza Square,Nokkucwe,AL,03/24/1990
Minnie Larson,Wepo Park,Rezecti,UT,10/18/1920
Kate McDonald,Izni Road,Bicwelped,IL,01/31/1945
Lois Campbell,Futo Heights,Epihokeb,PA,09/11/1959
Nora Beck,Teha Glen,Rudoto,TN,12/16/1907
Winifred Perez,Zusno Street,Inietazaj,CO,12/15/1937
Cora Valdez,Raut Pass,Balehhem,UT,03/14/1924
Nancy Goodman,Wasit Parkway,Azuwonso,NY,05/04/2023
Vera Potter,Goutu Path,Ovoziwug,AR,05/19/1939
Mollie Barker,Sozepe Junction,Ajcukpoc,DE,08/24/1996
Ora Tate,Dowev Pike,Cekgesa,MA,11/24/2019
Connor Bridges,Ucge Key,Keduzet,KY,03/22/2050
Louise Kim,Amutu Park,Puwkulad,WV,05/14/2062
Max French,Fedsik Manor,Bojujaaru,SC,10/30/1920
Clara Gomez,Obiha Junction,Enewiiz,AZ,05/21/2032
Caroline Cruz,Jimo Highway,Wonkuruf,MO,09/19/1963
Luke George,Iwunup Glen,Rivoud,LA,01/10/1965
Bernice Kennedy,Emloj Ridge,Ikuohogis,NM,02/01/2061
Scott Phillips,Coje Extension,Cormitpe,MI,12/09/2058
Sadie Hardy,Rozwi Ridge,Toululek,MO,12/03/1939
Anne Francis,Kolzag Parkway,Zegejeh,OR,11/03/2011
Nettie Parker,Lolroh Point,Agoniata,MI,02/11/1966
Maurice Willis,Ipaovo Heights,Pijetoko,AK,10/30/1918
Mittie Jackson,Guvob Point,Zodevcid,FL,03/30/1909
Jeffery Watson,Deam Pass,Uvararhak,GA,11/09/2063
Wayne Moss,Pihi Lane,Uzhogba,NH,01/25/1927
Mike Morris,Zofaf Pike,Reozoce,NC,07/10/2054
Rena Lewis,Wagar Parkway,Iluepevav,KS,08/20/1958
Mildred Vargas,Lodoz Turnpike,Zokoredaz,NC,07/19/1967
Frank Cummings,Vifgel Trail,Fumisov,OH,10/20/2010
Jeanette Weaver,Cofben Pike,Ediujimas,NH,04/16/1930
Frank Peterson,Urial Street,Cudzufvo,MD,01/22/1900
Ina Warren,Fidlid Trail,Bubifte,AL,09/09/1985
Bernice Ross,Mekop Circle,Suganki,CT,07/14/2056
Amelia Campbell,Zepvoh Court,Doneine,CO,08/19/2003
Edwin Hill,Salo Turnpike,Libasu,PA,07/09/1989
Leila Moran,Fuuw Court,Iresenaz,WV,09/22/1954
Nelle Curtis,Cekzu Park,Veewiji,KS,03/03/1900
Billy Davis,Jerihu Pass,Tejicvi,KS,05/21/2036
Ernest Carr,Fewfo Avenue,Kufehur,WV,11/20/1920
Lenora Parker,Vusevi Extension,Livnicfew,CO,05/21/2067
Winifred Pearson,Neeve Boulevard,Icakadsuc,OK,04/06/1969
Jose Graves,Maboj Avenue,Mavuzac,NV,09/05/2041
Jeremy Salazar,Jeleka Loop,Ecnisni,NV,12/03/1937
Gavin Freeman,Divzif River,Nofovamo,TN,10/03/1982
Margaret Paul,Tujes Plaza,Nulatife,WV,06/13/2011
Mildred Gonzales,Reez Center,Larufogi,GA,03/16/1927
